attributeName,code,definition
site_code,DBG,"core region: Desert Botanical Garden"
site_code,EME,"west region: Estrella Mountain Regional Park east"
site_code,EMW,"west region: Estrella Mountain Regional Park west"
site_code,LDP,"east region: Lost Dutchman State Park"
site_code,MCN,"east region: McDowell Mountain Regional north"
site_code,MCS,"east region: McDowell Mountain Regional south"
site_code,MVP,"core region: North Mountain"
site_code,PWP,"core region: Piestewa Peak"
site_code,SME,"core region: South Mountain Park east"
site_code,SMW,"core region: South Mountain Park west"
site_code,SNE,"west region: Sonoran Desert National Monument east"
site_code,SNW,"west region: Sonoran Desert National Monument west"
site_code,SRR,"east region: Salt River Recreation Area (Tonto NF)"
site_code,UMP,"east region: Usery Mountain Regional Park"
site_code,WTM,"west region: White Tanks Mountain Regional Park"
treatment_code,C1,control plot 1
treatment_code,N,nitrogen amendment
treatment_code,NP,nitrogen + phosphorus amendment
treatment_code,P,phosphorus amendment
shrub_code,L1,Larrea tridentata study plant #1
shrub_code,L2,Larrea tridentata study plant #2
shrub_code,L3,Larrea tridentata study plant #3
shrub_code,L4,Larrea tridentata study plant #4
shrub_code,L5,Larrea tridentata study plant #5
direction,East,stem in east quadrant of plant
direction,North,stem in north quadrant of plant
direction,South,stem in south quadrant of plant
direction,West,stem in west quadrant of plant
post_measurement,FALSE,initial: pre stem-length measurement
post_measurement,TRUE,final: post stem-length measurement
