attributeName,code,definition
site_code,BLK,refers to a blank for chemistry data
site_code,DBG,"core region, Desert Botanical Garden"
site_code,EME,"west region, Estrella Mountain Regional Park east"
site_code,EMW,"west region, Estrella Mountain Regional Park west"
site_code,LDP,"east region, Lost Dutchman State Park"
site_code,MCN,"east region, McDowell Mountain Regional north"
site_code,MCS,"east region, McDowell Mountain Regional south"
site_code,MVP,"core region, North Mountain"
site_code,PWP,"core region, Piestewa Peak"
site_code,SME,"core region, South Mountain Park east"
site_code,SMW,"core region, South Mountain Park west"
site_code,SNE,"west region, Sonoran Desert National Monument east"
site_code,SNW,"west region, Sonoran Desert National Monument west"
site_code,SRR,"east region, Salt River Recreation Area (Tonto NF)"
site_code,UMP,"east region, Usery Mountain Regional Park"
site_code,WTM,"west region, White Tanks Mountain Regional Park"
treatment_code,C1,control plot 1
treatment_code,C2,control plot 2
treatment_code,N,nitrogen amendment
treatment_code,NP,nitrogen + phosphorus amendment
treatment_code,P,phosphorus amendment
analyte,Al,aluminum
analyte,B,boron
analyte,Ca,calcium
analyte,Cd,cadmium
analyte,Cu,copper
analyte,Fe,iron
analyte,K,potassium
analyte,Mg,magnesium
analyte,Mn,manganese
analyte,NH4-N,ammonium-nitrogen
analyte,NO3-N,nitrate-nitrogen
analyte,P,phosphorus amendment
analyte,Pb,lead
analyte,S,sulfur
analyte,Total-N,sum of NO3-N and NH4-N
analyte,Zn,zinc
location_within_plot,between_plant,probes buried between plant canopies
location_within_plot,blank,field blank: probe stored in a clean container under refrigeration during the deployment period
location_within_plot,blk_washed,"field blank (washed): probe stored in a clean container under refrigeration during the deployment period, and washed as per sample probes"
location_within_plot,under_plant,probes buried beneath the canopy of Larrea tridentata
