taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Ambrosia,ITIS:36495,genus,ITIS:36495,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,ragweed
Amsinckia,ITIS:31700,genus,ITIS:31700,accepted,2011-12-08,NA,NA,NA,NA,NA,NA,,,fiddleneck
Amsinckia menziesii,ITIS:31711,species,ITIS:31711,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,menziesii,,Menzies fiddleneck
Amsinckia tessellata,ITIS:31706,species,ITIS:31706,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Amsinckia,tessellata,,bristly fiddleneck
Aristida adscensionis,ITIS:41401,species,ITIS:41401,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Aristida,adscensionis,,sixweeks threeawn
Aristida purpurea,ITIS:41429,species,ITIS:41429,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Aristida,purpurea,,purple 3 awn
Asteraceae,ITIS:35420,family,ITIS:35420,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,sunflowers
Astragalus,ITIS:25392,genus,ITIS:25392,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,milkvetch
Astragalus didymocarpus,ITIS:25495,species,ITIS:25495,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Astragalus,didymocarpus,,dwarf white milkvetch
Astragalus nuttallianus,ITIS:25607,species,ITIS:25607,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Astragalus,nuttallianus,,smallflowered milkvetch
Baileya multiradiata,ITIS:36799,species,ITIS:36799,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Baileya,multiradiata,,desert marigold
Bebbia juncea,ITIS:36824,species,ITIS:36824,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Bebbia,juncea,,sweetbush
Boraginaceae,ITIS:31633,family,ITIS:31633,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,borage
Bowlesia incana,ITIS:29601,species,ITIS:29601,accepted,2011-07-25,Plantae,NA,Magnoliopsida,Apiales,Apiaceae,Bowlesia,incana,,hoary bowlesia
Brassica tournefortii,ITIS:23064,species,ITIS:23064,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Brassicales,Brassicaceae,Brassica,tournefortii,,Asian mustard
Brassicaceae,ITIS:22669,family,ITIS:22669,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,mustards
Bromus arizonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromus rubens,ITIS:40518,species,ITIS:40518,accepted,2010-11-30,Plantae,NA,Magnoliopsida,Poales,Poaceae,Bromus,rubens,,red brome
Calandrinia ciliata,ITIS:20464,species,ITIS:20464,accepted,2012-03-29,Plantae,NA,Magnoliopsida,Caryophyllales,Montiaceae,Calandrinia,ciliata,,redmaids
Camissonia californica,ITIS:27479,species,ITIS:513285,synonym,2011-12-08,Plantae,NA,Magnoliopsida,Myrtales,Onagraceae,Eulobus,californicus,,California suncup
Camissonia claviformis,ITIS:27490,species,ITIS:836121,synonym,2011-12-08,NA,NA,NA,NA,NA,NA,,,browneyes
Cammisonia confusa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castilleja exserta,ITIS:506880,species,ITIS:506880,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja,exserta,,exserted Indian paintbrush
Caulanthus lasiophyllus,ITIS:23088,species,ITIS:23088,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Brassicales,Brassicaceae,Caulanthus,lasiophyllus,,California mustard
Chaenactis stevioides,ITIS:36998,species,ITIS:36998,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Chaenactis,stevioides,,Esteves pincushion
Chamaesyce,ITIS:28244,genus,ITIS:28032,synonym,2017-04-25,NA,NA,NA,NA,NA,NA,,,spurge
Chamaesyce albomarginata,ITIS:501400,species,ITIS:28038,synonym,2017-04-25,Plantae,NA,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,albomarginata,,whitemargin sandmat
Chamaesyce polycarpa,ITIS:501452,species,ITIS:845661,synonym,2017-04-25,NA,NA,NA,NA,NA,NA,,,smallseed sandmat
Chorizanthe,ITIS:21003,genus,ITIS:21003,accepted,2011-08-30,NA,NA,NA,NA,NA,NA,,,spineflower
Chorizanthe brevicornu,ITIS:21007,species,ITIS:21007,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Polygonaceae,Chorizanthe,brevicornu,,brittle spineflower
Chorizanthe rigida,ITIS:21026,species,ITIS:21026,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Caryophyllales,Polygonaceae,Chorizanthe,rigida,,turkshead
Cistanthe monandra,ITIS:501560,species,ITIS:501560,accepted,2012-03-29,Plantae,NA,Magnoliopsida,Caryophyllales,Montiaceae,Cistanthe,monandra,,common pussypaws
Conyza canadensis,ITIS:37113,species,ITIS:37113,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Conyza,canadensis,,marestail
Crassula connata,ITIS:501661,species,ITIS:501661,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,connata,,sand pygmyweed
Cryptantha,ITIS:31765,genus,ITIS:31765,accepted,2011-12-08,NA,NA,NA,NA,NA,NA,,,NA
Cryptantha angustifolia,ITIS:31784,species,ITIS:31784,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Cryptantha,angustifolia,,Panamint cryptantha
